Has CS degree,Has learned sort alg,Used sort alg,Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
NO,NO,none,compare two fruits and put the heavier one to the right.  i would compare a new fruit to each of the previous ones until i found where it fit. i would keep doing this for each new fruit,i used the same approach. compare two fruits and move the heavier one to the right. take a new fruit and compare it to the other fruits until it fit somewhere. after i had them all arranged i would check to make sure they were in the right order by taking the lightest fruit and making sure it was lighter than the one ahead of it. if it all checked out than it was good to go.,i don't really get the question but like the blue star example i was comparing 2 fruits,i think strategy 2 is more similar.
NO,NO,I have not used any of those sorting methods nor do I know what they are or how to use them.,"i pick two fruits at random and compare their weights. this gives me their order. then i pick another fruit at random and compare it to the lightest weight fruit. this gives me its position. i then move on to the 4th fruit and compare its weight to the lightest fruit. if it's lighter, i've found its position (1st). if it's heavier i go down the line comparing weight until i find where it goes and the same for each remaining fruit.",same strategy. start with two fruits and compare. then pick a fruit and compare its weight to the first fruit and go down the line similarly to position each fruit in term. it's tedious but it works.,i didn't really. i followed the policy i described in the same way regardless.,"i'm confused by this question but i used strategy two, a one-by-one comparison."
NO,NO,no,"compare a to b, if a is less than b then compare to c and keep going to the end. if a is greater than the one comparing to then the new fruit is the lowest and keep comparing to the end to find the lowest weight. when you get to the end then compare the next lowest to the rest and","i do the same way as the smaller batch. start with a and then compare to b and keep going until i find one smaller than a, when that happens then the new fruit is the lowest and i keep going down the line comparing to find one lower. when there is a lower one i switch out and keep going down the line until the end. i remember which ones are larger and pick the next lowest weight and start comparing that to ones above it until i find the next lowest and keep the process going until the end","i learned in the blue star to compare each of the fruits to each other finding the lowest weight one and then working up from there. so compare a to b then to c then to d as switching if the next fruit is lower in weight. so if c is lower than a i would do a to b, a to c, then c to d and keep that process up until i find the lowest. it was the same method as the purple diamond group",strategy 2 because i compare each fruit to another
NO,NO,NO,empty,a,empty,empty
NO,NO,None,i tried to way by comparing them down the line with a versus all to see if it was higher and lower than anyone. the lowest one remains until one was higher. then i compared the higher ones and found an order. ,i did the same by comparing pairs next to one another and doing a process of elimination with the lower one going through until it was higher than another. ,i did not use anything that i learned as i just went by comparing them as usual,i used the comparing one from one side to the other until i found the heaviest.
NO,NO,I have not. I am completely new to any of this.,"i compare a to each one individually b through f to figure out where it goes. once one is heavier i stop comparing a and replace it with the heavier one. if c was heavier than a then my next comparison is c vs d. i keep doing this until i find the heaviest, then i go through and do it again and keep doing that.","i use the same strategy. i compare a to every letter from b to j. but, when i find something heavier than a, i replace it and continue with that one until i find the heaviest. then i continue the process with the next heaviest fruit and align them in increasing weight from left to right.",i didn't learn much as it was pretty convoluted. i just kept doing the same strategy of finding the heaviest of the whole set and repeating.,"strategy 2 is much loser to what i did, individually separating them."
NO,NO,I know no algorithms.,"compare a to d, then a to c and d to c.  arrange l to r the lightest to heaviest.  compare b to a, d, c, place it appropriately.  continue with f and e.","i use the same method as the small pile.  compare the first and second, arrange light to heavy.  compare the 3rd with the first and second, place again lightest to heaviest, and continue down the line in this fashion. ","mmm, not sure i did learn anything from the blue star operator.  i just did the best i could with the comparing of each fruit against the others.",i suppose it would be strategy 1.
NO,NO,no,"i just go one by one from each letter rearranging the set according to which weighs more. first compare a to all of them, then b, then c, etc.","i do the same thing, didn't really do anything different",the blue thing didn't teach me anything for the purple one i think,i don't think i learned much since from what i understood the blue one unloads one by one or something
NO,NO,no,"weighing and weighing and moving and moving. crying, whining, and then guessing some.",weighing and moving.,i didn't.,i didn't.
NO,NO,none,i compared two letters and tried to find the one that weighed the most and continued finding the ones that weighed less in the process.,i tried finding the heaviest and lightest while also finding the ones in the middle at the same time.,i took the letter from the left and compared it to the right int he beginning in order to try to find which one was heaviest.,strategy 2 is closest to what i used.
NO,NO,none/ no I used none of those sorting methods,i tried to start with weighing a to b and moving down the alphabet and then placed them in order. i messed up and went backwards at first and got some wrong. it was not the most efficient way but i dont know a better way so i went with it.,i tried comparing them alphabetically and used process of elimination to try to see which was heavier.,i really did not learn much from the blue star or the purple diamond for how they actually did their job so i did the best i could.,strategy 2 is closer to what i used
Yes,Yes,"I did learn some sorting algorithms in college and took a couple programming courses, but that was 10 years ago and I don't remember any specifics.","i compared the first two unordered fruits in the line. then put them in order below the pile. then i compared the next unordered fruit in line to one of the ordered fruits. i tried to compare the new fruits to fruits that were in the middle of my ordered fruits, but since it was timed i also went with whatever was fastest to input. then at the end i usually double checked my answers weighing all the fruits in line.",i used the same approach. i compared the first two unordered fruits and then put them in order below the pile. then i would figure out where the next fruit went compared to my other ordered fruits. i tried to compare the unordered fruit with fruits in the middle of my ordered fruits to go faster. ,i don't think i used any techniques from blue star. ,i think it would be strategy 2 because i weighed individual unordered fruits in comparison to my list of ordered fruits. 
NO,NO,I don't know any of those.,at first i was comparing to the heaviest but that took too long and i ran out of time so then i started comparing to the lightest weight and that was much faster.,"i never changed my approach after choosing to compare to the lowest, it seemed the quickest way no matter the number.",i didn't use any from the first time since it didn't seem to apply,i didn't use that because i didn't think it would help me when they were placed randomly
NO,NO,,"i started by separating the sort and focusing on the edges and skipping some to find by approximation
","i started by separating the sort and focusing on the edges and skipping some to find by approximation
","i always tried to focus on the ends
",strategy 2
NO,NO,I have never heard of any of these nor used any.,i took each fruit and weighed them all until i found the smallest one and used that one to start and then found each weight going from lightest to heaviest.,i used the same approach and tried to find the lightest one first and then compared them all until i was going in what i hoped was lightest to heaviest. once i thought i had them in the correct order i reweighed them all to determine if i had them in the right order. often this took me a longer time and consisted in using more moves,i don't really think i used any information learned from the blue star to arrange fruits with the purple diamond. i used the same approach for trying to find the correct order for all parts.,i am not sure that i used either of these by itself but maybe more of a combination of both strategies but more so what i thought was easiest and working better for myself in arranging the fruit.
