Has CS degree,Has learned sort alg,Used sort alg,Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
NO,NO,none,i basically compared pairs one at a time to find their position. once i had three in place i tried comparing to the high or low end first then the middle and working my way up or down accordingly. ,it was the same method as before. i first arranged three in order. then i compared one to the highest or lowest and then middle if necessary and worked my way up or down accordingly. i'm sure i was not very efficient. ,"i was not that smart i am afraid. i worked in pairs singly, and mostly did not think in groups i guess. other than to start high or low, then middle and work my way up or down. "
NO,NO,I know none of those and used none.,"my approach would be to try and find the lightest or heaviest fruit first. so i would try a to d and move them according to their weight right or left. after i found one that was either the lightest or heaviest, i would move it into position and then try and find the next heaviest or lightest from the remaining fruit. it wass not always easy to arrange them exactly because you had to do a lot of moving around to see which was not as heavy as the others. by after i realized that it is not really important what the letter is (at first i was trying to do a, b, c) then it made it somewhat easier to try and arrange them by how they are listed in the box. that way i could easily move them right or left from their position as they were sitting at the beginning.","i didn't have a different strategy for larger piles, unfortunately. i tried to start on the left and see if it was the lightest or heaviest fruit. as i moved through the fruit, i moved them left or right until i found the lightest or heaviest. once that was in position, i tried to do the same thing with the remaining fruit. i was not always successful because i could not determine a better strategy to find the lightest ones until i was able to eliminate some of the fruit from the line.",i did not use information i learned from the blue star operator because those were listed already in line from increasing in weight. i could not see how that would help me since i was not able to know which of the fruits were the heaviest until i tested them all against each other. 
NO,NO,None.,i would weigh a & d and then sort them and then go one by one through the list comparing them to the other fruits and where they are left to right.,same thing. i start with the first two fruits - e & i - weigh and sort them against each other and use them as a starting point for weighing and arranging the other fruits against them and the other fruits.,i would start out with smaller and easier chunks of information i guess.
NO,NO,no,started from the right and compared weights going to the left it seemed only one was out of weight,just tried to compare the weights going to the right to left,compared one fruit going to the left until found a spot for the fruit
NO,NO,I don't know any algorithms,"first, i eventually switched to paper. i started with a and b, then a and c, etc. then b and c, b and d, etc. eventually, it all falls together. when i get down to my last letters, i compare them with something in the middle, then narrow down.","same technique, only it takes much longer. once i figure out, say, four or five in a row, it becomes easier to figure out where to place the next letter. ",the technique used for one didn't really translate to the other.
NO,NO,No,"start with a, compare with all the rest, so i then know the position of a definitely. then do the same with b. then c etc. etc. ",same approach as for smaller sample. i compare a with all the rest individually to get its known position. then follow same procedure for b through j,not sure i understand the question but.... i just decided which of the melons was lightest and chose that one.
NO,NO,no I have not,by comparing the weight of each i take the lowest weight to highest rate in that order to fill ,by taking each weight and comparing loading the lowest weight first to highest ,by comparing the weight of the first one of each first to determine which goes in first
NO,NO,"No, no sorting class used.",the smallest fruits need to be on the left and the heavier fruits go on the right in increasing weights.,"there are a lot of comparisons to make to have the lighter fruits on the left and the heavier fruits on the left, increasing weights left to right.",comparing the weights on the star to see which ones were heavier.
NO,NO,NONE,compare c to b and select the lighter of the 2 then dequentially move to the left and right and fruits are removed,same approach. start in the middle and compare then move sequentially as fruits are removed,it wasn't particularly helpful
NO,NO,I do not have a background in computer science and have not seen any tasks like this before. ,"i first compare the fruit on the left to all of the subsequent fruits until it is less than one of them in weight. them i start with that one and compare to all subsequent, until one of them is clearly the heaviest. once i've identified that, i try to compare middle-weight fruits to determine the correct order of them. if i sense a pattern, i don't necessarily weigh/compare all, in the interest of moving quickly. ","i do the same as before, starting comparing left to right until i identify the heaviest and arrange it in the scratch box. with larger groups, i tend to look for more patterns and less comparison.","i compared the heaviest in one box with the heaviest from another, since they're already partially sorted. once i've gotten the heaviest, i just keep inserting one box in comparison to the other to identify how their weights stack up and once i've got them all from one box, i know the order of the others based on the crate they're already in."
