Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
c4_05r94KjQW7,"I would start with two, find the lighter of the two. Then I would go down the line and compare them with the lightest one and keep descending down until I found where it was lighter than the next one. For example if A and D compared and A was lighter than D, I would do A, D. Then I would compare C with A and if it were lighter, I'd put it in front and move on to B and then compare B with C, if C was heavier I'd then compare it with A, etc.","I would do the same method that I described in the last one. I would start with the first two. E, I. Put the lighter one in front. If it were I, E. I would compare H with I and if H was heavier, I'd then compare it with E to see if it were lighter or heavier. If it were heavier, I'd put it behind E and then move to the next letter and keep doing the same method. ",I didn't use anything that I learned in that method to come up with the method that I used with the purple diamond. I found the blue star task more confusing than the purple diamond task,"Again, I did not use the strategies learned from the blue star method in the purple diamond tasks. I found my method that I used easier."
c4_0HMl1F4y76,"I compared A with the rest, then B with the rest except A, and so on. I noted which measured more than others and arranged them in increasing order. That's how I reached to a conclusion.","I used the same approach. I couldn't figure out any other way. Unfortunately, more often than not, I ran out of time.","To be honest, I couldn't figure out what role did the BLUE STAR played. I used the same tactic as before to arrange the fruits.","As mentioned before, I couldn't figure out what role did the BLUE STAR played. But I think that STRATEGY 1 is probably the correct answer in this case."
c4_2g0iRkb831,"i weight everything against each other like ad,ac, ab, af, ae. then dc, db,df, de, etc until i have everything weighed in order. ","I do the same exact thing. but if i find an item is certainly heaviest or lightest, i go ahead and put them into place",i really really struggled with this and is where i hit mental fatigue. still the same method but there were too many working parts after all the other puzzles,"again, i used the whole strategy without. the last few i just couldnt really think straight anymore. strategy 2 wouldve been closest though"
c4_3d6H2S4B7X,"I start to the left and compare A and D, then put the heaviest first. I then continue doing that down the line and occasionally compare a later fruit with an earlier one to make sure the placement is right. I then input them at the end backwards, since it's easier for me to go from heaviest to lightest left to right while solving it. ",I start at the left and work my way right. I start by comparing each fruit and placing whichever one is heaviest to the left. I do that all of the way down. I then will check ones that are to the right to compare them to the ones to the left to make sure I have my placement correct. I then input the solution backwards since I go from heaviest to lightest while solving. ,I didn't use it. I found this portion confusing and wasn't sure what I was doing incorrectly. ,I didn't use any strategies from it as I didn't understand it at all. It just confused me on what I was supposed to be doing honestly. 
c4_5CiK93T2N8,I compared two fruits to get a high and low and then compared the others based off of that. I tried to find the middle as soon as possible.,I did the same as before. I compared two to find a high and low and then tried to find the middle.,I had no idea what was going on with this task. I couldn't figure out what I was supposed to do.,I guess strategy two looks most like what I was doing.
c4_5Wa0p61MF4,I started with the first letter and compared its weight to all the other letters to get started. Then I eliminated any letters that I could by placing them in the correct spot. Then I went with the next letter and compared its weight to each of the remaining letters. I continued this until there were no fruits left.,I used the same approach for the larger pile of fruits that I described on the previous question. I just made sure to keep moving and not take any breaks so that I had time to complete the task.,I did not learn any useful information from the blue star operator that I used in arranging fruits with the purple diamond operator.,I did not use either strategy outlined in the diagrams.
c4_74yU39sA0V,I think that a purple diamond meant that there is a sequence of fruits (letters) increasing or decreasing. I tried to find my solution by rearranging fruits and comparing their weight. But it was difficult and I felt under a time pressure. ,"I used the same approach, I used mostly the scale to compare weight and find out the correct solution.","I am not sure if I learned how the purple diamond or the blue star worked. As I said before, I felt like the time was too short to ""digest"" all the information I had. ",Strategy 2 probably. 
c4_7dEOM324r5,"I begin by comparing two letters and then sorting them. I then choose another letter and compare it to the previously two known sorted letters. I choose a fourth and compare it to each sorted letter on the end (i.e. the lightest and the heaviest). I continue with each additional apple, starting with the lowest and highest. Then I will choose a letter in the middle to essentially cut my choices in half. Then I will shoot in the middle of the remaining half and continue comparing until I can sort everything properly.","I essentially use the same procedure as previously described. I would compare E and I and sort them. Then I would take H and compare it to both E and I and sort again. Then I start comparing each additional apple to the lowest and highest weights. If it lies in between somewhere, I will compare it with the middle fruit in the sorted pile. This tells me if I need to concentrate on the fruits on the left or the fruits on the right for ongoing comparison and sorting.","I honestly did not see the correlation between the two, so I did not use that information when sorting with the purple diamond.",I would say that strategy 2 is closest to my own application.
c4_93u6A5wLQ8,I kept measuring till I had smallest to largest.,I just kept measuring against each other til I had what I thought was the correct order.,I did just used the measurement to make my decision.,I dont think these strategies helped.  They were more confusing then helpful.
c4_Ix84Ev3Y51,Find the relative weights for a random group of 3 fruits. then compare the next fruit to the middle fruit and decide if to left or right. Establish how far to left or right for the fruits that have been sampled. Continue in that fashion until all fruits are exhausted,Just keep making guesses and trying to remember the relative values. Was not fully in tune with the different approaches of the colored shapes,"Did not consciously use what I learned, but did become more methodical after getting the bit of coaching",I was closer to Strategy 2
c4_JqSI9B1203,I started with comparing with A and B.  I put those two in order.  Then I go to next aphabetical fruit and compare to fruits from heaviest to lightest known fruit in order until I find a fruit it is heavier than.  I repeat the previous steps with each fruit.,I compare fruits A and B.  I arrange them from heaviest to lightest.  Then I take the next aphabetical fruit and compared it starting with the heaviest unit I find a fruit that it is heavier than.  I repeat the previous steps with each fruit.,I compared the lightest fruit in one box with the lightest fruit in the other box.  Then I proceed to with next lightest fruit in order to determine which one is the heaviest.  I compare the lightest to the heaviest in each box.,Strategy 2 would be the closest to the my application.  I compared the individual weights of box 2 to the weights of box 1 to see where it fit in the wight order of box 1.
